participant_id,theme,n_sentences,n_participants,mean_score,median_score,std_score,pct_positive,pct_neutral,pct_negative
79TSTS,Peer Music,5.0,1.0,0.47212000000000004,0.4927,0.06146716196474342,100.0,0.0,0.0
V4HSKU,Peer Music,5.0,1.0,0.47206000000000004,0.5196,0.4619180641628989,60.0,40.0,0.0
6R5ITB,Peer Music,17.0,1.0,0.45679411764705885,0.4601,0.3233083038498011,76.47058823529412,23.52941176470588,0.0
X1QQ4F,Peer Music,6.0,1.0,0.4381,0.44465,0.255608106287731,83.33333333333334,16.666666666666664,0.0
VD1PLG,Peer Music,9.0,1.0,0.43372222222222223,0.5023,0.3864840998598059,77.77777777777779,0.0,22.22222222222222
IF5UTV,Peer Music,16.0,1.0,0.4301875,0.44635,0.3352349939470321,81.25,12.5,6.25
P7WEZC,Peer Music,2.0,1.0,0.42765,0.42765,0.3359464317417287,100.0,0.0,0.0
0M3LDX,Peer Music,10.0,1.0,0.41920999999999997,0.49905,0.33855596107257924,70.0,30.0,0.0
L0CULX,Peer Music,9.0,1.0,0.40418888888888893,0.5574,0.41664266897559965,77.77777777777779,11.11111111111111,11.11111111111111
KI6KAH,Peer Music,23.0,1.0,0.39280869565217397,0.5023,0.40219191022224865,78.26086956521739,13.043478260869565,8.695652173913043
4TPXHQ,Peer Music,12.0,1.0,0.3881833333333334,0.3722,0.34458691167391964,66.66666666666666,33.33333333333333,0.0
X8MNUK,Peer Music,8.0,1.0,0.38698750000000004,0.47209999999999996,0.32777216580815927,75.0,12.5,12.5
OSF8B7,Peer Music,7.0,1.0,0.3573857142857143,0.3612,0.3193777618462262,71.42857142857143,28.57142857142857,0.0
Y9N2G1,Peer Music,6.0,1.0,0.35128333333333334,0.4244,0.36592618062481763,66.66666666666666,16.666666666666664,16.666666666666664
382LOS,Peer Music,17.0,1.0,0.2669470588235294,0.0,0.3914044122094931,47.05882352941176,41.17647058823529,11.76470588235294
WXA3LM,Peer Music,3.0,1.0,0.2515,0.6486,0.7843601277474525,66.66666666666666,0.0,33.33333333333333
06ECDB,Peer Music,5.0,1.0,0.20929999999999999,0.3818,0.39736329095677675,60.0,20.0,20.0
XWM6DC,Peer Music,4.0,1.0,0.1767,0.1806,0.35770340600372635,50.0,25.0,25.0
JAC6MU,Peer Music,8.0,1.0,0.17609999999999998,0.0,0.4032018105118081,37.5,50.0,12.5
IAFS52,Peer Music,4.0,1.0,0.1746,0.1806,0.21568977722646013,50.0,50.0,0.0
Y1I6D6,Peer Music,9.0,1.0,-0.05147777777777777,0.0,0.35984872786275685,22.22222222222222,33.33333333333333,44.44444444444444
QNJQ2F,Peer Music,2.0,1.0,-0.13775,-0.13775,0.19480791821689386,0.0,50.0,50.0
X6YZK0,Peer Music,1.0,1.0,-0.7364,-0.7364,,0.0,0.0,100.0
1JVZTM,Peer Music,1.0,1.0,-0.7536,-0.7536,,0.0,0.0,100.0
